Source,Target,Weight
宝玉,黛玉,165
宝玉,宝钗,114
宝玉,袭人,111
宝钗,黛玉,85
袭人,黛玉,31
宝钗,袭人,27
凤姐,宝玉,52
宝玉,晴雯,19
凤姐,黛玉,32
晴雯,黛玉,5
凤姐,宝钗,35
宝钗,晴雯,4
凤姐,袭人,10
晴雯,袭人,19
凤姐,晴雯,1
宝玉,鸳鸯,12
宝玉,贾母,99
袭人,鸳鸯,9
袭人,贾母,17
贾母,鸳鸯,17
晴雯,鸳鸯,2
晴雯,贾母,1
宝玉,湘云,54
宝玉,探春,32
宝玉,迎春,22
宝玉,惜春,15
贾母,黛玉,44
湘云,黛玉,37
探春,黛玉,27
迎春,黛玉,17
惜春,黛玉,14
宝钗,贾母,57
宝钗,湘云,49
宝钗,探春,27
宝钗,迎春,18
宝钗,惜春,14
湘云,贾母,35
探春,贾母,19
贾母,迎春,14
惜春,贾母,12
探春,湘云,10
湘云,迎春,8
惜春,湘云,6
探春,迎春,19
惜春,探春,15
惜春,迎春,14
凤姐,王夫人,50
凤姐,迎春,9
王夫人,迎春,13
王夫人,黛玉,34
凤姐,贾母,64
王夫人,贾母,67
凤姐,湘云,13
湘云,王夫人,17
湘云,袭人,19
凤姐,平儿,18
平儿,王夫人,6
宝钗,王夫人,43
宝玉,王夫人,69
宝玉,贾政,48
贾政,黛玉,13
宝钗,贾政,11
贾政,贾母,30
王夫人,贾政,19
湘云,贾政,4
探春,贾政,9
贾政,迎春,10
惜春,贾政,5
探春,王夫人,11
惜春,王夫人,9
凤姐,贾政,7
王夫人,袭人,18
袭人,贾政,4
平儿,贾政,1
宝玉,平儿,2
平儿,袭人,4
平儿,贾母,7
贾政,鸳鸯,1
凤姐,惜春,7
凤姐,探春,11
探春,袭人,4
鸳鸯,黛玉,6
平儿,黛玉,2
宝钗,鸳鸯,7
宝钗,平儿,4
凤姐,鸳鸯,18
王夫人,鸳鸯,8
平儿,鸳鸯,7
探春,鸳鸯,5
迎春,鸳鸯,5
惜春,鸳鸯,3
平儿,探春,2
平儿,迎春,1
平儿,惜春,2
湘云,鸳鸯,6
平儿,湘云,5
晴雯,湘云,1
探春,晴雯,1
袭人,迎春,1
惜春,袭人,2
